UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED,DSTNCED1,DSTNCED2,DSTNCED3
100636,1,1,-2,0,0,0,1,1,0,-2,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,-1,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,B,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,B,.,A,.,1,1,2,1,1,2,-2,-2,-1,-1,B,.,-1,B,.,B,.,B,.,B,.,-1,B,.,B,.,B,.,B,.,B,.,B,.,B,.,-1,-1,-1,-1,-1,-1,B,.,-1,-1,-1,-1
100636,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,1,2,1,2,3,2,1,1,3,2,R,4219,R,6658,R,2246,R,3669,R,505,R,518,R,8,R,2,2,R,113,R,11,R,820,R,80,R,370,R,455,R,370,R,460,B,.,B,.,R,16,R,19,R,14,R,19,R,15,R,18,B,.,B,.,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,R,30,R,45,1,1,1,1,1,1,-2,-2,1,1,R,448,1,R,21,R,7346,R,2773,A,.,2,R,513,R,520,R,1033,R,10877,R,5915,R,1023,R,10,1,0,0,1,0,1,A,.,2,1,1,0
100636,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,1,2,1,3,1,1,3,3,1,3,3,1,R,2307,R,3268,R,1692,R,2335,R,687,R,891,R,15,R,12,1,R,79,R,5,R,1500,R,93,R,500,R,630,R,500,R,640,B,.,B,.,R,21,R,27,R,21,R,28,R,20,R,26,B,.,B,.,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,R,30,R,45,1,1,1,1,1,1,1,1,1,1,R,2260,2,A,.,R,5400,R,3894,A,.,2,R,702,R,903,R,1605,R,5575,R,4027,R,1578,R,27,1,0,0,1,0,1,A,.,2,1,1,0
100636,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,50,R,50,1,1,1,1,1,1,1,2,2,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,0,0,0,1,A,.,2,1,1,0
100636,0,1,0,1,1,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,3,2,1,1,3,2,R,1020,R,918,R,812,R,693,R,336,R,279,R,5,R,4,2,R,120,R,19,R,581,R,93,R,500,R,640,R,510,R,640,B,.,B,.,R,22,R,29,R,22,R,30,R,20,R,28,B,.,B,.,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,1,R,30,R,40,1,1,1,1,1,1,1,2,1,1,R,1680,2,A,.,R,5480,R,2590,A,.,2,R,341,R,283,R,624,R,1938,R,1505,R,615,R,9,1,0,0,1,0,1,A,.,2,1,1,0
100636,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,2,3,2,3,3,3,1,1,3,1,R,2940,R,4650,R,1296,R,2199,R,492,R,608,R,2,R,4,1,R,203,R,18,R,972,R,88,R,370,R,460,R,360,R,480,B,.,B,.,R,15,R,19,R,14,R,19,R,15,R,18,B,.,B,.,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,R,25,R,25,1,1,1,1,1,1,1,2,1,1,R,2487,1,R,19,R,2630,R,1970,A,.,2,R,494,R,612,R,1106,R,7592,R,3495,R,1100,R,6,1,0,0,1,0,1,A,.,2,1,1,0
100636,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,-2,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,-2,-2,-2,-2,-2,A,.,-2,-2,-2,-2
100636,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,2,1,1,3,3,1,1,3,2,R,11152,R,15257,R,5987,R,8032,R,2810,R,3552,R,13,R,22,2,R,1433,R,22,R,4803,R,75,R,500,R,620,R,500,R,640,R,490,R,610,R,22,R,30,R,22,R,31,R,21,R,28,R,6,R,8,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,R,40,R,50,1,1,1,1,1,1,1,1,1,1,R,8050,2,A,.,R,5600,R,3050,A,.,2,R,2823,R,3574,R,6397,R,26409,R,14019,R,6362,R,35,1,0,0,1,0,2,R,4,2,1,1,0
100636,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,B,.,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,30,A,.,1,2,2,1,2,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,1,0,1,A,.,2,1,0,0
100636,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,2,2,3,3,3,3,2,1,3,1,R,584,R,1155,R,453,R,833,R,283,R,474,R,54,R,60,1,R,0,R,0,R,519,R,61,A,.,A,.,A,.,A,.,A,.,A,.,R,21,R,24,R,20,R,25,R,22,R,24,B,.,B,.,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,2,-2,1,R,25,R,25,1,1,1,1,1,1,-2,-2,1,1,R,600,1,R,19,R,3970,R,1200,A,.,2,R,337,R,534,R,871,R,1739,R,1286,R,757,R,114,2,0,0,0,0,1,A,.,2,1,1,0
100636,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,1,2,1,2,1,1,2,3,1,1,3,2,R,7635,R,9828,R,5911,R,7575,R,1814,R,2001,R,17,R,20,2,R,677,R,18,R,3175,R,82,R,530,R,630,R,550,R,650,R,520,R,610,R,24,R,30,R,24,R,31,R,23,R,28,R,6,R,8,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,R,50,R,50,1,1,1,1,1,1,1,1,1,1,R,3986,2,A,.,R,5500,R,5106,A,.,2,R,1831,R,2021,R,3852,R,17463,R,13486,R,3815,R,37,1,0,0,1,0,1,A,.,2,1,1,0
100636,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,2,1,2,1,1,2,2,R,879,R,967,R,613,R,591,R,192,R,135,R,0,R,0,2,R,122,R,37,R,289,R,88,R,500,R,610,R,510,R,610,R,490,R,580,R,23,R,29,R,23,R,31,R,23,R,27,B,.,B,.,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368,4,R,40,A,.,1,1,2,1,2,2,-2,-2,2,1,R,1597,1,R,21,R,7114,R,4380,A,.,2,R,192,R,135,R,327,R,1846,R,1204,R,327,R,0,1,0,0,1,0,1,A,.,2,0,0,1
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,2,0,0,0,0,1,A,.,2,1,0,0
100636,0,1,0,0,0,0,4,-2,-2,68,0,0,1,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2,1,R,10,A,.,1,1,2,1,1,2,-2,-2,2,1,R,500,1,R,19,R,1730,R,2420,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,0,1,0,1,A,.,2,1,0,0
100636,0,1,0,0,0,0,2,-2,-2,-2,0,0,1,0,1,0,1,0,0,0,0,0,2,3,3,1,3,3,3,2,1,1,1,R,28,R,45,R,21,R,33,R,14,R,19,R,4,R,6,3,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,2,R,50,R,50,1,1,1,1,1,1,-2,-2,2,1,R,12,3,A,.,R,7650,A,.,A,.,2,R,18,R,25,R,43,R,73,R,54,R,33,R,10,2,0,0,0,0,1,A,.,2,1,1,0
100636,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,1,R,460,1,R,15,A,.,A,.,R,5400,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,2,0,0,0,0,1,A,.,2,1,0,0
